endTime,artistName,trackName,msPlayed,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2022-08-31 09:19,Alexis Samaan,Une Femme Seule,458360,4nwCedecSkuTMMh2AeoMxZ,0.609,0.801,2.0,-10.607,0.0,0.0406,0.0707,0.888,0.496,0.0633,122.003,4.0
2022-08-31 09:19,Niconé,TELL ME WHAT WE ARE - Short Edit,30656,586U0WKdi1rbyMMRuCWRe3,0.736,0.683,0.0,-8.984,0.0,0.0309,0.045,0.00924,0.0837,0.39,119.987,4.0
2022-08-31 09:24,Undo,Call Me Tonight,285908,2Qr1hB8nrxBoInz8tl1Ybp,0.696,0.809,10.0,-6.026,0.0,0.0549,0.000117,0.818,0.101,0.271,110.007,4.0
2022-08-31 09:31,Perel,Die Dimension,413988,7H8dITyr8FhhtZ9klDTp2x,0.802,0.912,7.0,-8.1,1.0,0.0599,0.000545,0.911,0.112,0.561,120.004,4.0
2022-08-31 09:36,Undo,Disconnect,275671,336wbCfmS6gMYQEPPXC8TU,0.585,0.731,6.0,-9.676,0.0,0.031,0.389,0.928,0.0935,0.151,115.01,4.0
2022-08-31 09:41,The Populists,Blacker - The Populists remix,315875,4mN0hHNbBcRz3Udg80akos,0.811,0.588,10.0,-6.694,0.0,0.0957,9.91e-06,0.926,0.359,0.539,117.007,4.0
2022-08-31 09:42,Prof. Steinmetz,Space,66480,4CaT7j4kk0MdCjn4sTrwzp,0.348,0.511,1.0,-18.651,1.0,0.0478,0.179,0.813,0.155,0.85,130.007,4.0
2022-08-31 09:44,Benjamin Fröhlich,Dream City - Zombies In Miami Remix,139553,2dhBOjueJ7GWw8U3kbNC7r,0.717,0.865,8.0,-9.434,1.0,0.0464,0.00935,0.74,0.073,0.396,121.007,4.0
2022-08-31 09:44,Undo,Call Me Tonight,2840,2Qr1hB8nrxBoInz8tl1Ybp,0.696,0.809,10.0,-6.026,0.0,0.0549,0.000117,0.818,0.101,0.271,110.007,4.0
2022-08-31 09:45,Not Just Me,Through the Blinds (Audiojack Remix),2180,4NFOgN08yjA8XH2uoEWJQC,0.72,0.821,7.0,-7.772,1.0,0.0576,0.00923,0.901,0.123,0.265,129.982,4.0
2022-08-31 09:52,DJ Psychiatre,"Sit Back, Enjoy",424954,7kU8vHfOGjQkRySQRehsLI,0.684,0.801,10.0,-8.89,0.0,0.0535,0.004,0.82,0.0837,0.461,118.203,4.0
